deltaQ (pC),deltaM (g),deltaT (s),mass jump indices,mid plateau indices,trial
0.3666980000000002,0.049,0.0,95.0,108.0,1113_350ulm_2.5V_ni_10cm_02.csv
0.3516079999999997,0.047,8.96799898147583,121.0,133.0,1113_350ulm_2.5V_ni_10cm_02.csv
0.3569819999999999,0.045999999999999985,8.624972105026245,146.0,158.0,1113_350ulm_2.5V_ni_10cm_02.csv
0.28360300000000005,0.048000000000000015,8.279003143310547,170.0,182.0,1113_350ulm_2.5V_ni_10cm_02.csv
0.2976580000000002,0.04999999999999999,8.278507947921753,194.0,206.0,1113_350ulm_2.5V_ni_10cm_02.csv
0.2596230000000004,0.044999999999999984,8.279489278793335,218.0,230.0,1113_350ulm_2.5V_ni_10cm_02.csv
0.3569829999999996,0.04700000000000004,8.278997659683228,242.0,253.0,1113_350ulm_2.5V_ni_10cm_02.csv
0.3230820000000003,0.046999999999999986,7.934973955154419,265.0,277.0,1113_350ulm_2.5V_ni_10cm_02.csv
0.3447849999999999,0.044999999999999984,8.623995780944824,290.0,302.0,1113_350ulm_2.5V_ni_10cm_02.csv
0.365456,0.04799999999999999,8.625481367111192,315.0,326.0,1113_350ulm_2.5V_ni_10cm_02.csv
0.29476499999999994,0.04700000000000004,7.932997465133681,338.0,349.0,1113_350ulm_2.5V_ni_10cm_02.csv
0.36442700000000006,0.04599999999999993,7.9334876537323,361.0,372.0,1113_350ulm_2.5V_ni_10cm_02.csv
0.3218419999999984,0.049000000000000044,7.935485124588013,384.0,395.0,1113_350ulm_2.5V_ni_10cm_02.csv
0.358638,0.04800000000000004,7.935002088546753,407.0,419.0,1113_350ulm_2.5V_ni_10cm_02.csv
0.3189499999999992,0.04899999999999993,8.281512022018433,431.0,443.0,1113_350ulm_2.5V_ni_10cm_02.csv
0.27967100000000045,0.04600000000000004,8.279991149902344,455.0,466.0,1113_350ulm_2.5V_ni_10cm_02.csv
0.26685799999999915,0.04800000000000004,7.937993049621582,478.0,491.0,1113_350ulm_2.5V_ni_10cm_02.csv
0.365456,0.04699999999999993,8.970970392227173,504.0,517.0,1113_350ulm_2.5V_ni_10cm_02.csv
0.313777,0.04800000000000004,8.970973014831515,530.0,542.0,1113_350ulm_2.5V_ni_10cm_02.csv
