deltaQ (pC),deltaM (g),time (s),mass jump indices,mid plateau indices,trial
-0.08040970000000003,0.042,66.06531810760498,192.0,207.0,1001_350ulm_0.5V_10ga_10cm_09.csv
-0.11761739999999998,0.049999999999999996,75.72087740898132,220.0,234.0,1001_350ulm_0.5V_10ga_10cm_09.csv
-0.0702811000000001,0.04999999999999999,85.0343370437622,247.0,261.0,1001_350ulm_0.5V_10ga_10cm_09.csv
-0.07854910000000004,0.049000000000000016,94.00175070762634,273.0,286.0,1001_350ulm_0.5V_10ga_10cm_09.csv
-0.08082358,0.04899999999999999,102.62369751930235,298.0,311.0,1001_350ulm_0.5V_10ga_10cm_09.csv
-0.06924723799999988,0.05099999999999999,110.90596747398376,322.0,335.0,1001_350ulm_0.5V_10ga_10cm_09.csv
-0.12423231800000001,0.049000000000000044,119.18657517433168,346.0,358.0,1001_350ulm_0.5V_10ga_10cm_09.csv
-0.1116230199999999,0.04999999999999999,127.12131023406982,369.0,382.0,1001_350ulm_0.5V_10ga_10cm_09.csv
-0.0917789,0.046999999999999986,135.39844274520874,393.0,406.0,1001_350ulm_0.5V_10ga_10cm_09.csv
-0.07648220000000006,0.05099999999999999,144.0224268436432,418.0,432.0,1001_350ulm_0.5V_10ga_10cm_09.csv
-0.07007389999999991,0.052000000000000046,153.33821773529053,445.0,459.0,1001_350ulm_0.5V_10ga_10cm_09.csv
-0.1254729000000001,0.04699999999999993,162.30770587921145,471.0,484.0,1001_350ulm_0.5V_10ga_10cm_09.csv
-0.11348320000000012,0.052000000000000046,170.58320689201355,495.0,508.0,1001_350ulm_0.5V_10ga_10cm_09.csv
-0.07586240000000011,0.04899999999999993,178.86040568351746,519.0,532.0,1001_350ulm_0.5V_10ga_10cm_09.csv
-0.08537099999999986,0.049000000000000044,187.4863953590393,544.0,558.0,1001_350ulm_0.5V_10ga_10cm_09.csv
-0.12464560000000002,0.050000000000000044,196.45640420913696,570.0,584.0,1001_350ulm_0.5V_10ga_10cm_09.csv
-0.09901400000000038,0.04599999999999993,205.7638702392578,597.0,611.0,1001_350ulm_0.5V_10ga_10cm_09.csv
-0.12092400000000003,0.051000000000000045,214.72990250587463,623.0,637.0,1001_350ulm_0.5V_10ga_10cm_09.csv
-0.08309700000000042,0.050000000000000044,223.69702887535092,649.0,663.0,1001_350ulm_0.5V_10ga_10cm_09.csv
-0.11555199999999965,0.050999999999999934,232.66453671455383,675.0,688.0,1001_350ulm_0.5V_10ga_10cm_09.csv
-0.10521499999999984,0.04799999999999993,240.9418580532074,699.0,712.0,1001_350ulm_0.5V_10ga_10cm_09.csv
-0.1025280000000004,0.05300000000000016,249.56888484954837,724.0,737.0,1001_350ulm_0.5V_10ga_10cm_09.csv
-0.11720299999999995,0.04699999999999993,258.19177746772766,749.0,762.0,1001_350ulm_0.5V_10ga_10cm_09.csv
-0.07338200000000006,0.050999999999999934,266.8160424232483,774.0,787.0,1001_350ulm_0.5V_10ga_10cm_09.csv
-0.09012400000000031,0.04500000000000015,275.08951902389526,798.0,811.0,1001_350ulm_0.5V_10ga_10cm_09.csv
-0.064079,0.051999999999999824,283.7119643688202,823.0,837.0,1001_350ulm_0.5V_10ga_10cm_09.csv
-0.09426000000000023,0.049000000000000155,292.67722487449646,849.0,863.0,1001_350ulm_0.5V_10ga_10cm_09.csv
-0.077102,0.052999999999999936,301.64293789863586,875.0,887.0,1001_350ulm_0.5V_10ga_10cm_09.csv
-0.07792900000000014,0.04699999999999993,309.2305519580841,897.0,910.0,1001_350ulm_0.5V_10ga_10cm_09.csv
-0.09880599999999973,0.051000000000000156,317.51053619384766,921.0,934.0,1001_350ulm_0.5V_10ga_10cm_09.csv
-0.08330400000000004,0.04699999999999993,326.1336386203766,946.0,960.0,1001_350ulm_0.5V_10ga_10cm_09.csv
-0.09198700000000004,0.050999999999999934,335.1036529541016,972.0,988.0,1001_350ulm_0.5V_10ga_10cm_09.csv
-0.11803100000000022,0.050000000000000044,345.4528408050537,1002.0,1016.0,1001_350ulm_0.5V_10ga_10cm_09.csv
-0.07937700000000003,0.050000000000000044,354.7673065662384,1029.0,1044.0,1001_350ulm_0.5V_10ga_10cm_09.csv
-0.07730900000000052,0.04899999999999993,364.76615047454834,1058.0,1071.0,1001_350ulm_0.5V_10ga_10cm_09.csv
-0.08722999999999992,0.04899999999999993,374.0777962207794,1085.0,1110.0,1001_350ulm_0.5V_10ga_10cm_09.csv
-0.1002535,0.047,40.19288444519043,117.0,132.0,1001_350ulm_0.5V_10ga_10cm_10.csv
-0.1052147,0.05,49.8506064414978,145.0,160.0,1001_350ulm_0.5V_10ga_10cm_10.csv
-0.10914220000000008,0.04899999999999999,59.85558652877808,174.0,192.0,1001_350ulm_0.5V_10ga_10cm_10.csv
-0.08578410000000003,0.05000000000000002,71.58556580543518,208.0,225.0,1001_350ulm_0.5V_10ga_10cm_10.csv
-0.11823740000000005,0.04899999999999999,82.6255452632904,240.0,254.0,1001_350ulm_0.5V_10ga_10cm_10.csv
-0.11162280000000008,0.04999999999999999,91.59553003311156,266.0,278.0,1001_350ulm_0.5V_10ga_10cm_10.csv
-0.10976249999999993,0.04800000000000004,99.18551635742188,288.0,300.0,1001_350ulm_0.5V_10ga_10cm_10.csv
-0.10893560000000002,0.04999999999999999,106.77498030662537,310.0,322.0,1001_350ulm_0.5V_10ga_10cm_10.csv
-0.11927129999999997,0.046999999999999986,114.3649914264679,332.0,341.0,1001_350ulm_0.5V_10ga_10cm_10.csv
-0.11617003100000012,0.05199999999999999,120.22774577140808,349.0,361.0,1001_350ulm_0.5V_10ga_10cm_10.csv
-0.06862734400000015,0.04700000000000004,128.162700176239,372.0,387.0,1001_350ulm_0.5V_10ga_10cm_10.csv
-0.08351019000000004,0.052999999999999936,137.82175278663635,400.0,415.0,1001_350ulm_0.5V_10ga_10cm_10.csv
-0.12319849999999999,0.049000000000000044,147.4817352294922,428.0,443.0,1001_350ulm_0.5V_10ga_10cm_10.csv
-0.12257840000000009,0.04799999999999993,157.13919711112976,456.0,471.0,1001_350ulm_0.5V_10ga_10cm_10.csv
-0.08227000000000007,0.050000000000000044,167.14417934417725,485.0,499.0,1001_350ulm_0.5V_10ga_10cm_10.csv
-0.11265619999999998,0.049000000000000044,176.45916318893433,512.0,525.0,1001_350ulm_0.5V_10ga_10cm_10.csv
-0.06718050000000009,0.04799999999999993,185.0816366672516,537.0,550.0,1001_350ulm_0.5V_10ga_10cm_10.csv
-0.09694639999999999,0.04500000000000004,193.70662140846247,562.0,576.0,1001_350ulm_0.5V_10ga_10cm_10.csv
-0.11410330000000002,0.049000000000000044,202.67660474777225,588.0,603.0,1001_350ulm_0.5V_10ga_10cm_10.csv
-0.0820628000000001,0.04799999999999993,212.68158650398252,617.0,631.0,1001_350ulm_0.5V_10ga_10cm_10.csv
-0.11534339999999998,0.052999999999999936,221.99657106399536,644.0,658.0,1001_350ulm_0.5V_10ga_10cm_10.csv
-0.0677979999999998,0.04800000000000004,230.9590015411377,670.0,683.0,1001_350ulm_0.5V_10ga_10cm_10.csv
-0.06614699999999996,0.04899999999999993,239.2390069961548,694.0,705.0,1001_350ulm_0.5V_10ga_10cm_10.csv
-0.06304599999999994,0.049000000000000155,246.4807381629944,715.0,726.0,1001_350ulm_0.5V_10ga_10cm_10.csv
-0.06593999999999989,0.04899999999999993,253.72401118278503,736.0,748.0,1001_350ulm_0.5V_10ga_10cm_10.csv
-0.09694599999999998,0.052999999999999936,261.6589975357056,759.0,771.0,1001_350ulm_0.5V_10ga_10cm_10.csv
-0.07027999999999945,0.04700000000000015,269.5901463031769,782.0,796.0,1001_350ulm_0.5V_10ga_10cm_10.csv
-0.06780100000000022,0.04699999999999993,278.5552673339844,808.0,824.0,1001_350ulm_0.5V_10ga_10cm_10.csv
-0.07730900000000052,0.04699999999999993,288.9030373096466,838.0,853.0,1001_350ulm_0.5V_10ga_10cm_10.csv
-0.11120900000000011,0.049000000000000155,298.90711092948914,867.0,880.0,1001_350ulm_0.5V_10ga_10cm_10.csv
-0.10873,0.04699999999999993,307.1876347064972,891.0,903.0,1001_350ulm_0.5V_10ga_10cm_10.csv
-0.07607000000000008,0.04600000000000004,315.12262058258057,914.0,927.0,1001_350ulm_0.5V_10ga_10cm_10.csv
-0.090951,0.04899999999999993,323.4021396636963,938.0,951.0,1001_350ulm_0.5V_10ga_10cm_10.csv
-0.06924699999999984,0.04499999999999993,332.02510380744934,963.0,975.0,1001_350ulm_0.5V_10ga_10cm_10.csv
-0.08578399999999986,0.04700000000000015,339.95058488845825,986.0,999.0,1001_350ulm_0.5V_10ga_10cm_10.csv
-0.09570500000000015,0.04699999999999993,348.57382321357727,1011.0,1024.0,1001_350ulm_0.5V_10ga_10cm_10.csv
-0.1130709999999997,0.04600000000000004,356.8522837162018,1035.0,1048.0,1001_350ulm_0.5V_10ga_10cm_10.csv
-0.072762,0.04499999999999993,365.1288766860962,1059.0,1070.0,1001_350ulm_0.5V_10ga_10cm_10.csv
-0.09053999999999984,0.050999999999999934,373.0595738887787,1082.0,1107.0,1001_350ulm_0.5V_10ga_10cm_10.csv
-0.07710250000000007,0.045,38.46779704093933,112.0,124.0,1001_350ulm_0.5V_10ga_10cm_11.csv
-0.11451679999999997,0.048,46.05687499046326,134.0,146.0,1001_350ulm_0.5V_10ga_10cm_11.csv
-0.08640429999999999,0.04899999999999999,53.64686322212219,156.0,168.0,1001_350ulm_0.5V_10ga_10cm_11.csv
-0.07234809999999992,0.048000000000000015,61.5818464756012,179.0,192.0,1001_350ulm_0.5V_10ga_10cm_11.csv
-0.08723119999999995,0.046999999999999986,69.85965538024902,203.0,218.0,1001_350ulm_0.5V_10ga_10cm_11.csv
-0.07689570000000007,0.04799999999999999,79.51554203033447,231.0,245.0,1001_350ulm_0.5V_10ga_10cm_11.csv
-0.0977732999999999,0.04800000000000004,88.48422002792358,257.0,270.0,1001_350ulm_0.5V_10ga_10cm_11.csv
