deltaQ (pC),deltaM (g),time (s),mass jump indices,mid plateau indices,trial
-0.09281209999999995,0.016,86.77483820915222,252.0,264.0,1120_350ulm_sfnewg_11gaSSethc_10cm_01.csv
-0.16329990000000005,0.043,94.36537337303162,274.0,286.0,1120_350ulm_sfnewg_11gaSSethc_10cm_01.csv
-0.08206320000000011,0.043,101.95487093925476,296.0,308.0,1120_350ulm_sfnewg_11gaSSethc_10cm_01.csv
-0.1570980999999998,0.043,109.54787707328796,318.0,329.0,1120_350ulm_sfnewg_11gaSSethc_10cm_01.csv
-0.1401481,0.04000000000000001,116.79562330245972,339.0,351.0,1120_350ulm_sfnewg_11gaSSethc_10cm_01.csv
-0.12195800000000001,0.04000000000000001,124.3851158618927,361.0,372.0,1120_350ulm_sfnewg_11gaSSethc_10cm_01.csv
-0.15627100000000005,0.04300000000000001,131.62912344932556,382.0,394.0,1120_350ulm_sfnewg_11gaSSethc_10cm_01.csv
-0.08206500000000005,0.04099999999999998,139.21910619735718,404.0,416.0,1120_350ulm_sfnewg_11gaSSethc_10cm_01.csv
-0.1271270000000002,0.04199999999999998,147.15408778190613,427.0,439.0,1120_350ulm_sfnewg_11gaSSethc_10cm_01.csv
-0.1676409999999997,0.040000000000000036,154.74609375,449.0,461.0,1120_350ulm_sfnewg_11gaSSethc_10cm_01.csv
-0.10397400000000001,0.04299999999999998,162.683495759964,472.0,485.0,1120_350ulm_sfnewg_11gaSSethc_10cm_01.csv
-0.0791700000000004,0.043999999999999984,170.95998787879944,496.0,509.0,1120_350ulm_sfnewg_11gaSSethc_10cm_01.csv
-0.07007500000000011,0.04200000000000004,179.23899149894714,520.0,532.0,1120_350ulm_sfnewg_11gaSSethc_10cm_01.csv
-0.07627600000000001,0.04399999999999993,187.17438864707947,543.0,556.0,1120_350ulm_sfnewg_11gaSSethc_10cm_01.csv
-0.08598899999999965,0.04300000000000004,195.45437049865723,567.0,579.0,1120_350ulm_sfnewg_11gaSSethc_10cm_01.csv
-0.14510999999999985,0.04200000000000004,203.044353723526,589.0,601.0,1120_350ulm_sfnewg_11gaSSethc_10cm_01.csv
-0.11182999999999943,0.04599999999999993,210.9808456897736,612.0,624.0,1120_350ulm_sfnewg_11gaSSethc_10cm_01.csv
-0.1469700000000005,0.04700000000000004,218.57033944129944,634.0,645.0,1120_350ulm_sfnewg_11gaSSethc_10cm_01.csv
-0.1110009999999999,0.041000000000000036,225.8143579959869,655.0,666.0,1120_350ulm_sfnewg_11gaSSethc_10cm_01.csv
-0.15048300000000037,0.041999999999999926,233.0588548183441,676.0,687.0,1120_350ulm_sfnewg_11gaSSethc_10cm_01.csv
-0.12257699999999971,0.04200000000000004,240.3028647899628,697.0,709.0,1120_350ulm_sfnewg_11gaSSethc_10cm_01.csv
-0.09818499999999997,0.04300000000000004,248.23335146903992,720.0,732.0,1120_350ulm_sfnewg_11gaSSethc_10cm_01.csv
-0.14221400000000006,0.04599999999999993,256.1678559780121,743.0,755.0,1120_350ulm_sfnewg_11gaSSethc_10cm_01.csv
-0.11741099999999971,0.04600000000000004,264.1028380393982,766.0,779.0,1120_350ulm_sfnewg_11gaSSethc_10cm_01.csv
-0.16433300000000006,0.040999999999999925,272.38233065605164,790.0,801.0,1120_350ulm_sfnewg_11gaSSethc_10cm_01.csv
-0.09632699999999961,0.04200000000000004,279.62633872032166,811.0,823.0,1120_350ulm_sfnewg_11gaSSethc_10cm_01.csv
-0.1734289999999996,0.04400000000000004,287.2163245677948,833.0,845.0,1120_350ulm_sfnewg_11gaSSethc_10cm_01.csv
-0.16040900000000047,0.04499999999999993,295.1513047218323,856.0,868.0,1120_350ulm_sfnewg_11gaSSethc_10cm_01.csv
-0.10934800000000067,0.04300000000000015,303.08628702163696,879.0,891.0,1120_350ulm_sfnewg_11gaSSethc_10cm_01.csv
-0.16929499999999997,0.041999999999999815,311.0212700366974,902.0,914.0,1120_350ulm_sfnewg_11gaSSethc_10cm_01.csv
-0.128158,0.04400000000000004,318.6097619533539,924.0,936.0,1120_350ulm_sfnewg_11gaSSethc_10cm_01.csv
-0.09095099999999956,0.04200000000000004,326.19975423812866,946.0,958.0,1120_350ulm_sfnewg_11gaSSethc_10cm_01.csv
-0.16226699999999994,0.04200000000000004,334.1342542171478,969.0,980.0,1120_350ulm_sfnewg_11gaSSethc_10cm_01.csv
-0.13849599999999995,0.04200000000000004,341.37925720214844,990.0,1001.0,1120_350ulm_sfnewg_11gaSSethc_10cm_01.csv
-0.1401469999999998,0.04200000000000004,348.6237804889679,1011.0,1022.0,1120_350ulm_sfnewg_11gaSSethc_10cm_01.csv
-0.1651600000000002,0.040999999999999925,355.523766040802,1031.0,1042.0,1120_350ulm_sfnewg_11gaSSethc_10cm_01.csv
-0.1564779999999999,0.04400000000000004,362.423269033432,1051.0,1062.0,1120_350ulm_sfnewg_11gaSSethc_10cm_01.csv
-0.07441299999999984,0.04400000000000004,370.3582491874695,1074.0,1099.0,1120_350ulm_sfnewg_11gaSSethc_10cm_01.csv
-0.1554445000000001,0.037,35.36491894721985,103.0,115.0,1120_350ulm_sfnewg_11gaSSethc_10cm_02.csv
-0.10459430000000003,0.044000000000000004,43.29990577697754,126.0,138.0,1120_350ulm_sfnewg_11gaSSethc_10cm_02.csv
-0.15461780000000003,0.043,50.88988518714905,148.0,160.0,1120_350ulm_sfnewg_11gaSSethc_10cm_02.csv
-0.06552639999999998,0.04300000000000001,58.82389068603516,171.0,183.0,1120_350ulm_sfnewg_11gaSSethc_10cm_02.csv
-0.129606,0.043999999999999984,66.7578957080841,194.0,207.0,1120_350ulm_sfnewg_11gaSSethc_10cm_02.csv
-0.09963340000000004,0.04500000000000001,75.03887701034546,218.0,230.0,1120_350ulm_sfnewg_11gaSSethc_10cm_02.csv
-0.07503499999999996,0.046999999999999986,82.62788653373718,240.0,252.0,1120_350ulm_sfnewg_11gaSSethc_10cm_02.csv
-0.07834258000000005,0.04299999999999998,90.5628695487976,263.0,275.0,1120_350ulm_sfnewg_11gaSSethc_10cm_02.csv
-0.08247643999999998,0.040000000000000036,98.15188789367676,285.0,296.0,1120_350ulm_sfnewg_11gaSSethc_10cm_02.csv
-0.16247238000000008,0.04299999999999998,105.39738154411316,306.0,318.0,1120_350ulm_sfnewg_11gaSSethc_10cm_02.csv
-0.150277,0.04199999999999998,112.9868814945221,328.0,340.0,1120_350ulm_sfnewg_11gaSSethc_10cm_02.csv
-0.12691870000000005,0.04300000000000004,120.92237877845764,351.0,363.0,1120_350ulm_sfnewg_11gaSSethc_10cm_02.csv
-0.07627530000000005,0.04200000000000004,128.51039004325867,373.0,384.0,1120_350ulm_sfnewg_11gaSSethc_10cm_02.csv
-0.08413019999999993,0.04299999999999993,135.75588393211365,394.0,405.0,1120_350ulm_sfnewg_11gaSSethc_10cm_02.csv
-0.1577176,0.04500000000000004,142.65587067604065,414.0,425.0,1120_350ulm_sfnewg_11gaSSethc_10cm_02.csv
-0.16391960000000005,0.04200000000000004,149.90039682388306,435.0,447.0,1120_350ulm_sfnewg_11gaSSethc_10cm_02.csv
-0.14883000000000024,0.04699999999999993,157.83488869667053,458.0,469.0,1120_350ulm_sfnewg_11gaSSethc_10cm_02.csv
-0.1368400000000003,0.041000000000000036,165.07987213134766,479.0,491.0,1120_350ulm_sfnewg_11gaSSethc_10cm_02.csv
-0.13022599999999995,0.04399999999999993,172.66985774040222,501.0,513.0,1120_350ulm_sfnewg_11gaSSethc_10cm_02.csv
-0.08226999999999984,0.04200000000000004,180.60483837127688,524.0,536.0,1120_350ulm_sfnewg_11gaSSethc_10cm_02.csv
-0.09984199999999976,0.04400000000000004,188.5378499031067,547.0,558.0,1120_350ulm_sfnewg_11gaSSethc_10cm_02.csv
-0.0706929999999999,0.039999999999999925,195.7829029560089,568.0,580.0,1120_350ulm_sfnewg_11gaSSethc_10cm_02.csv
-0.14283499999999982,0.04400000000000004,203.7184219360352,591.0,603.0,1120_350ulm_sfnewg_11gaSSethc_10cm_02.csv
-0.16743499999999978,0.04299999999999993,211.30743169784543,613.0,625.0,1120_350ulm_sfnewg_11gaSSethc_10cm_02.csv
-0.14696900000000035,0.04100000000000015,218.89495253562927,635.0,647.0,1120_350ulm_sfnewg_11gaSSethc_10cm_02.csv
-0.14986500000000014,0.04499999999999993,226.48493552207947,657.0,669.0,1120_350ulm_sfnewg_11gaSSethc_10cm_02.csv
-0.15730500000000047,0.04200000000000004,234.07442808151245,679.0,691.0,1120_350ulm_sfnewg_11gaSSethc_10cm_02.csv
