deltaQ (pC),deltaM (g),time (s),mass jump indices,mid plateau indices,trial
-0.03906770000000004,0.112,79.85219097137451,232.0,311.0,1017_35ulm_sfnewshortg_fluor_10cm_01.csv
-0.03865429999999992,0.05500000000000001,134.0169334411621,389.0,421.0,1017_35ulm_sfnewshortg_fluor_10cm_01.csv
-0.036380600000000096,0.014999999999999986,155.4078071117401,451.0,467.0,1017_35ulm_sfnewshortg_fluor_10cm_01.csv
-0.04278850000000001,0.04100000000000001,166.10276865959167,482.0,561.0,1017_35ulm_sfnewshortg_fluor_10cm_01.csv
-0.05498420000000004,0.13299999999999998,220.26458859443665,639.0,876.0,1017_35ulm_sfnewshortg_fluor_10cm_01.csv
-0.11637643999999991,0.11699999999999999,383.4329583644867,1112.0,1162.0,1017_35ulm_sfnewshortg_fluor_10cm_01.csv
-0.13580689000000024,0.027000000000000024,417.240314245224,1210.0,1227.0,1017_35ulm_sfnewshortg_fluor_10cm_01.csv
-0.13394649999999997,0.06399999999999995,428.28025555610657,1242.0,1365.0,1017_35ulm_sfnewshortg_fluor_10cm_01.csv
-0.1453146999999999,0.07700000000000007,512.7984743118286,1487.0,1581.0,1017_35ulm_sfnewshortg_fluor_10cm_01.csv
-0.14552299999999985,0.17000000000000004,576.9597315788269,1673.0,2012.0,1017_35ulm_sfnewshortg_fluor_10cm_01.csv
-0.1647470000000002,0.1349999999999999,810.152036190033,2349.0,2381.0,1017_35ulm_sfnewshortg_fluor_10cm_01.csv
-0.15813199999999927,0.025000000000000022,832.5734572410583,2414.0,2439.0,1017_35ulm_sfnewshortg_fluor_10cm_01.csv
-0.13559999999999994,0.19,39.84083580970764,116.0,594.0,1017_35ulm_sfnewshortg_fluor_10cm_02.csv
-0.11451570000000011,0.245,368.94957399368286,1070.0,1207.0,1017_35ulm_sfnewshortg_fluor_10cm_02.csv
-0.16247330000000004,0.12200000000000005,463.1313111782074,1343.0,1500.0,1017_35ulm_sfnewshortg_fluor_10cm_02.csv
-0.16185199999999966,0.08999999999999997,571.0986695289612,1656.0,1724.0,1017_35ulm_sfnewshortg_fluor_10cm_02.csv
-0.17115400000000003,0.039000000000000035,617.6695489883423,1791.0,1848.0,1017_35ulm_sfnewshortg_fluor_10cm_02.csv
-0.17156800000000016,0.028999999999999915,656.652529001236,1904.0,1937.0,1017_35ulm_sfnewshortg_fluor_10cm_02.csv
-0.14531500000000008,0.026000000000000023,678.7324872016907,1968.0,1985.0,1017_35ulm_sfnewshortg_fluor_10cm_02.csv
-0.15027800000000013,0.013000000000000012,690.116464138031,2001.0,2038.0,1017_35ulm_sfnewshortg_fluor_10cm_02.csv
-0.15688999999999975,0.028000000000000025,714.9503865242004,2073.0,2093.0,1017_35ulm_sfnewshortg_fluor_10cm_02.csv
-0.1568909999999999,0.027000000000000024,728.0573637485504,2111.0,2167.0,1017_35ulm_sfnewshortg_fluor_10cm_02.csv
-0.13332699999999953,0.02499999999999991,766.0028176307678,2221.0,2238.0,1017_35ulm_sfnewshortg_fluor_10cm_02.csv
-0.18066199999999988,0.018000000000000016,777.0413060188293,2253.0,2272.0,1017_35ulm_sfnewshortg_fluor_10cm_02.csv
-0.14903599999999972,0.01100000000000001,789.4602906703949,2289.0,2309.0,1017_35ulm_sfnewshortg_fluor_10cm_02.csv
-0.16205900000000018,0.015000000000000013,802.5697407722473,2327.0,2362.0,1017_35ulm_sfnewshortg_fluor_10cm_02.csv
-0.16164500000000004,0.040000000000000036,826.0272078514099,2395.0,2447.0,1017_35ulm_sfnewshortg_fluor_10cm_02.csv
-0.17921600000000026,0.027999999999999914,861.9036617279053,2499.0,2524.0,1017_35ulm_sfnewshortg_fluor_10cm_02.csv
-0.1874840000000002,0.028,42.251407623291016,123.0,172.0,1017_35ulm_sfnewshortg_fluor_10cm_03.csv
-0.15627080000000015,0.027,75.36635756492615,219.0,238.0,1017_35ulm_sfnewshortg_fluor_10cm_03.csv
