deltaQ (pC),deltaM (g),time (s),mass jump indices,mid plateau indices,trial
-0.11575709999999995,0.049,38.11560082435608,111.0,120.0,1007_350ulm_glyc_sfnewg_10ga_10cm_05.csv
-0.13167340000000005,0.047,43.63610243797302,127.0,138.0,1007_350ulm_glyc_sfnewg_10ga_10cm_05.csv
-0.12960630000000006,0.04999999999999999,50.53418588638306,147.0,158.0,1007_350ulm_glyc_sfnewg_10ga_10cm_05.csv
-0.10604150000000001,0.049000000000000016,57.43483924865723,167.0,177.0,1007_350ulm_glyc_sfnewg_10ga_10cm_05.csv
-0.10624820000000001,0.045999999999999985,63.98983001708984,186.0,196.0,1007_350ulm_glyc_sfnewg_10ga_10cm_05.csv
-0.11348309999999995,0.04799999999999999,70.54350423812866,205.0,217.0,1007_350ulm_glyc_sfnewg_10ga_10cm_05.csv
-0.1209247,0.051000000000000045,78.12918186187744,227.0,239.0,1007_350ulm_glyc_sfnewg_10ga_10cm_05.csv
-0.11389639000000007,0.04999999999999999,85.71679759025574,249.0,260.0,1007_350ulm_glyc_sfnewg_10ga_10cm_05.csv
-0.11761739999999998,0.04999999999999999,92.96154856681824,270.0,281.0,1007_350ulm_glyc_sfnewg_10ga_10cm_05.csv
-0.11555002999999997,0.05299999999999999,99.86226916313171,290.0,301.0,1007_350ulm_glyc_sfnewg_10ga_10cm_05.csv
-0.11679069999999991,0.051000000000000045,106.75852990150452,310.0,321.0,1007_350ulm_glyc_sfnewg_10ga_10cm_05.csv
-0.11348320000000012,0.05399999999999994,114.0035183429718,331.0,342.0,1007_350ulm_glyc_sfnewg_10ga_10cm_05.csv
-0.1213381,0.05300000000000005,120.9035096168518,351.0,362.0,1007_350ulm_glyc_sfnewg_10ga_10cm_05.csv
-0.09632599999999991,0.04399999999999993,127.80156755447388,371.0,380.0,1007_350ulm_glyc_sfnewg_10ga_10cm_05.csv
-0.10872870000000012,0.050000000000000044,133.3185305595398,387.0,397.0,1007_350ulm_glyc_sfnewg_10ga_10cm_05.csv
-0.11555050000000011,0.052000000000000046,139.87223768234253,406.0,417.0,1007_350ulm_glyc_sfnewg_10ga_10cm_05.csv
-0.10976220000000003,0.050999999999999934,147.1172275543213,427.0,438.0,1007_350ulm_glyc_sfnewg_10ga_10cm_05.csv
-0.11327700000000007,0.049000000000000044,154.35846304893494,448.0,458.0,1007_350ulm_glyc_sfnewg_10ga_10cm_05.csv
-0.09487999999999985,0.04799999999999993,160.56615614891052,466.0,476.0,1007_350ulm_glyc_sfnewg_10ga_10cm_05.csv
-0.10583399999999976,0.052000000000000046,167.1211462020874,485.0,496.0,1007_350ulm_glyc_sfnewg_10ga_10cm_05.csv
-0.12154599999999993,0.04799999999999993,174.36229968070984,506.0,515.0,1007_350ulm_glyc_sfnewg_10ga_10cm_05.csv
-0.11017600000000005,0.049000000000000155,180.2272889614105,523.0,533.0,1007_350ulm_glyc_sfnewg_10ga_10cm_05.csv
-0.12340599999999968,0.050999999999999934,186.782279253006,542.0,553.0,1007_350ulm_glyc_sfnewg_10ga_10cm_05.csv
-0.11451600000000006,0.04800000000000004,194.0259530544281,563.0,574.0,1007_350ulm_glyc_sfnewg_10ga_10cm_05.csv
-0.11017600000000005,0.050000000000000044,200.92548394203183,583.0,595.0,1007_350ulm_glyc_sfnewg_10ga_10cm_05.csv
-0.11182900000000018,0.050999999999999934,208.51140713691711,605.0,617.0,1007_350ulm_glyc_sfnewg_10ga_10cm_05.csv
-0.10893599999999992,0.050000000000000044,216.10044503211972,627.0,638.0,1007_350ulm_glyc_sfnewg_10ga_10cm_05.csv
-0.10025299999999993,0.052999999999999936,223.34230852127075,648.0,659.0,1007_350ulm_glyc_sfnewg_10ga_10cm_05.csv
-0.11989200000000011,0.04800000000000004,230.23955941200256,668.0,679.0,1007_350ulm_glyc_sfnewg_10ga_10cm_05.csv
-0.10541999999999963,0.052000000000000046,237.4833540916443,689.0,699.0,1007_350ulm_glyc_sfnewg_10ga_10cm_05.csv
-0.1014940000000002,0.052999999999999936,244.03583550453183,708.0,719.0,1007_350ulm_glyc_sfnewg_10ga_10cm_05.csv
-0.10046100000000013,0.052000000000000046,251.277765750885,729.0,739.0,1007_350ulm_glyc_sfnewg_10ga_10cm_05.csv
-0.10232099999999988,0.053999999999999826,257.83008551597595,748.0,759.0,1007_350ulm_glyc_sfnewg_10ga_10cm_05.csv
-0.11017700000000019,0.052000000000000046,265.0745823383332,769.0,779.0,1007_350ulm_glyc_sfnewg_10ga_10cm_05.csv
