deltaQ (pC),deltaM (g),time (s),mass jump indices,mid plateau indices,trial
-0.11472300000000013,0.049,34.376004219055176,100.0,112.0,0910_350ulm_sfg_caged_10cm-04.csv
-0.1291929999999999,0.049,42.330596923828125,123.0,136.0,0910_350ulm_sfg_caged_10cm-04.csv
-0.11492899999999984,0.04799999999999999,50.62861466407776,147.0,161.0,0910_350ulm_sfg_caged_10cm-04.csv
-0.118444,0.049000000000000016,59.62006998062134,173.0,188.0,0910_350ulm_sfg_caged_10cm-04.csv
-0.12733189999999994,0.04799999999999999,69.64415645599365,202.0,218.0,0910_350ulm_sfg_caged_10cm-04.csv
-0.12361129999999998,0.04799999999999999,80.35957193374634,233.0,248.0,0910_350ulm_sfg_caged_10cm-04.csv
-0.12175080000000005,0.04800000000000004,90.04766726493835,261.0,274.0,0910_350ulm_sfg_caged_10cm-04.csv
-0.10190719999999998,0.04899999999999999,98.34844517707825,285.0,298.0,0910_350ulm_sfg_caged_10cm-04.csv
-0.11575659999999999,0.04799999999999999,106.64905047416688,309.0,322.0,0910_350ulm_sfg_caged_10cm-04.csv
-0.11803030000000003,0.046999999999999986,114.94950675964355,333.0,345.0,0910_350ulm_sfg_caged_10cm-04.csv
-0.11141560000000006,0.04800000000000004,122.90370416641235,356.0,369.0,0910_350ulm_sfg_caged_10cm-04.csv
-0.111209,0.04899999999999993,131.2075960636139,380.0,392.0,0910_350ulm_sfg_caged_10cm-04.csv
-0.11162240000000001,0.04700000000000004,139.15764164924622,403.0,416.0,0910_350ulm_sfg_caged_10cm-04.csv
-0.10955530000000002,0.049000000000000044,147.4514706134796,427.0,440.0,0910_350ulm_sfg_caged_10cm-04.csv
-0.11513640000000003,0.04799999999999993,155.75321626663208,451.0,463.0,0910_350ulm_sfg_caged_10cm-04.csv
-0.11017539999999992,0.049000000000000044,163.7053999900818,474.0,486.0,0910_350ulm_sfg_caged_10cm-04.csv
-0.1107956,0.04799999999999993,171.65645575523376,497.0,510.0,0910_350ulm_sfg_caged_10cm-04.csv
-0.11968410000000007,0.04800000000000004,179.95453357696533,521.0,534.0,0910_350ulm_sfg_caged_10cm-04.csv
-0.1209243000000002,0.04800000000000004,188.25338411331177,545.0,558.0,0910_350ulm_sfg_caged_10cm-04.csv
-0.11782370000000009,0.04899999999999993,196.8950152397156,570.0,584.0,0910_350ulm_sfg_caged_10cm-04.csv
-0.10728160000000009,0.04800000000000004,206.2233366966248,597.0,612.0,0910_350ulm_sfg_caged_10cm-04.csv
