deltaQ (pC),deltaM (g),time (s),mass jump indices,mid plateau indices,trial
-0.1196839999999999,0.05,38.118826150894165,111.0,127.0,0829_350ulm_sfg_20cm-02.csv
-0.18624399999999985,0.048,48.46629047393799,141.0,157.0,0829_350ulm_sfg_20cm-02.csv
-0.15544500000000006,0.04799999999999999,58.81081223487854,171.0,187.0,0829_350ulm_sfg_20cm-02.csv
-0.18231600000000003,0.05100000000000002,69.50032758712769,202.0,216.0,0829_350ulm_sfg_20cm-02.csv
-0.11368940000000005,0.043999999999999984,78.47028803825378,228.0,240.0,0829_350ulm_sfg_20cm-02.csv
-0.12319790000000008,0.04799999999999999,86.40525364875793,251.0,263.0,0829_350ulm_sfg_20cm-02.csv
-0.14262850000000005,0.04300000000000004,94.33877229690552,274.0,286.0,0829_350ulm_sfg_20cm-02.csv
-0.11679010000000001,0.04299999999999998,101.92776083946228,296.0,307.0,0829_350ulm_sfg_20cm-02.csv
-0.12774560000000001,0.043999999999999984,108.8277304172516,316.0,328.0,0829_350ulm_sfg_20cm-02.csv
-0.1876909,0.04700000000000004,116.41623497009276,338.0,349.0,0829_350ulm_sfg_20cm-02.csv
-0.13580740000000002,0.04999999999999999,123.66120100021362,359.0,371.0,0829_350ulm_sfg_20cm-02.csv
-0.12237101000000006,0.04799999999999993,131.25116682052612,381.0,392.0,0829_350ulm_sfg_20cm-02.csv
-0.1885177,0.04800000000000004,138.15113472938538,401.0,412.0,0829_350ulm_sfg_20cm-02.csv
-0.19037789999999988,0.04600000000000004,145.39610409736633,422.0,434.0,0829_350ulm_sfg_20cm-02.csv
-0.19492599999999993,0.050999999999999934,152.98509550094604,444.0,456.0,0829_350ulm_sfg_20cm-02.csv
-0.18955159999999993,0.04600000000000004,160.92005848884585,467.0,480.0,0829_350ulm_sfg_20cm-02.csv
-0.1839700999999998,0.04800000000000004,169.5436065196991,492.0,506.0,0829_350ulm_sfg_20cm-02.csv
-0.13167229999999996,0.04999999999999993,178.51424193382263,518.0,533.0,0829_350ulm_sfg_20cm-02.csv
-0.14758899999999997,0.04300000000000004,188.1743323802948,546.0,560.0,0829_350ulm_sfg_20cm-02.csv
-0.1810769999999997,0.05499999999999994,197.1383991241455,572.0,586.0,0829_350ulm_sfg_20cm-02.csv
-0.154617,0.049000000000000044,206.4533541202545,599.0,613.0,0829_350ulm_sfg_20cm-02.csv
-0.17590800000000062,0.04800000000000004,215.4213442802429,625.0,638.0,0829_350ulm_sfg_20cm-02.csv
-0.11575599999999975,0.04899999999999993,223.69984817504883,649.0,662.0,0829_350ulm_sfg_20cm-02.csv
-0.1707409999999996,0.04699999999999993,232.32481002807617,674.0,687.0,0829_350ulm_sfg_20cm-02.csv
-0.1717740000000001,0.05300000000000016,240.6047728061676,698.0,710.0,0829_350ulm_sfg_20cm-02.csv
-0.1052120000000003,0.040999999999999925,248.5397381782532,721.0,732.0,0829_350ulm_sfg_20cm-02.csv
-0.13332599999999983,0.04699999999999993,255.7847068309784,742.0,754.0,0829_350ulm_sfg_20cm-02.csv
-0.163713,0.04700000000000015,263.7167284488678,765.0,776.0,0829_350ulm_sfg_20cm-02.csv
-0.1486219999999996,0.04999999999999982,270.6157388687134,785.0,796.0,0829_350ulm_sfg_20cm-02.csv
-0.11100099999999946,0.049000000000000155,277.86070799827576,806.0,818.0,0829_350ulm_sfg_20cm-02.csv
-0.11472199999999999,0.04899999999999993,285.4506742954254,828.0,840.0,0829_350ulm_sfg_20cm-02.csv
-0.15854400000000002,0.04699999999999993,293.38563895225525,851.0,864.0,0829_350ulm_sfg_20cm-02.csv
-0.11596399999999996,0.04700000000000015,301.66560554504395,875.0,889.0,0829_350ulm_sfg_20cm-02.csv
-0.11678899999999981,0.04800000000000004,310.98056650161743,902.0,917.0,0829_350ulm_sfg_20cm-02.csv
-0.13849299999999953,0.04999999999999982,320.640522480011,930.0,945.0,0829_350ulm_sfg_20cm-02.csv
-0.1430429999999996,0.049000000000000155,330.3004813194275,958.0,973.0,0829_350ulm_sfg_20cm-02.csv
-0.13973299999999966,0.04799999999999982,339.96043944358826,986.0,998.0,0829_350ulm_sfg_20cm-02.csv
-0.13621999999999979,0.04600000000000004,347.8934557437897,1009.0,1023.0,0829_350ulm_sfg_20cm-02.csv
-0.1734289999999996,0.05300000000000016,356.8594796657562,1035.0,1048.0,0829_350ulm_sfg_20cm-02.csv
-0.1688799999999997,0.04799999999999982,365.48197841644287,1060.0,1071.0,0829_350ulm_sfg_20cm-02.csv
-0.17384099999999947,0.049000000000000155,373.4164555072784,1083.0,1108.0,0829_350ulm_sfg_20cm-02.csv
-0.1242319999999999,0.045,39.14284896850586,114.0,126.0,0829_350ulm_sfg_20cm-03.csv
-0.17322099999999985,0.051000000000000004,46.73037648200989,136.0,148.0,0829_350ulm_sfg_20cm-03.csv
-0.11555000000000004,0.04799999999999999,54.3203444480896,158.0,170.0,0829_350ulm_sfg_20cm-03.csv
-0.13022599999999995,0.049000000000000016,61.91031169891357,180.0,191.0,0829_350ulm_sfg_20cm-03.csv
-0.15441129999999992,0.046999999999999986,68.80479574203491,200.0,212.0,0829_350ulm_sfg_20cm-03.csv
-0.12485170000000012,0.04799999999999999,76.73881697654724,223.0,235.0,0829_350ulm_sfg_20cm-03.csv
-0.17611529999999997,0.04600000000000004,84.32878470420837,245.0,258.0,0829_350ulm_sfg_20cm-03.csv
-0.1322932000000001,0.046999999999999986,92.954772233963,270.0,284.0,0829_350ulm_sfg_20cm-03.csv
-0.14262859999999988,0.04899999999999999,102.2687783241272,297.0,312.0,0829_350ulm_sfg_20cm-03.csv
-0.11720340000000018,0.05099999999999999,112.2722716331482,326.0,340.0,0829_350ulm_sfg_20cm-03.csv
-0.17756229999999995,0.04600000000000004,121.58723521232604,353.0,367.0,0829_350ulm_sfg_20cm-03.csv
-0.1686738000000001,0.04599999999999993,130.90219712257385,380.0,394.0,0829_350ulm_sfg_20cm-03.csv
-0.1566847,0.050000000000000044,139.8721604347229,406.0,418.0,0829_350ulm_sfg_20cm-03.csv
-0.18831085000000014,0.052000000000000046,147.80712747573853,429.0,443.0,0829_350ulm_sfg_20cm-03.csv
-0.12774538000000013,0.052999999999999936,156.78009176254272,455.0,467.0,0829_350ulm_sfg_20cm-03.csv
-0.1773553699999999,0.04200000000000004,164.71612310409546,478.0,491.0,0829_350ulm_sfg_20cm-03.csv
-0.18066271999999994,0.04899999999999993,172.9960880279541,502.0,513.0,0829_350ulm_sfg_20cm-03.csv
-0.1333263,0.04600000000000004,180.24105834960935,523.0,535.0,0829_350ulm_sfg_20cm-03.csv
-0.16309260000000014,0.04600000000000004,187.82857275009155,545.0,557.0,0829_350ulm_sfg_20cm-03.csv
-0.16660570000000008,0.04899999999999993,195.7635388374329,568.0,579.0,0829_350ulm_sfg_20cm-03.csv
-0.1484163999999999,0.052000000000000046,203.0075318813324,589.0,601.0,0829_350ulm_sfg_20cm-03.csv
-0.1808692999999999,0.052000000000000046,210.9424984455109,612.0,624.0,0829_350ulm_sfg_20cm-03.csv
-0.11885729999999972,0.04299999999999993,218.5324671268463,634.0,647.0,0829_350ulm_sfg_20cm-03.csv
-0.1511032000000001,0.052000000000000046,227.15743160247803,659.0,673.0,0829_350ulm_sfg_20cm-03.csv
-0.12877969999999994,0.04800000000000004,236.47239351272583,686.0,701.0,0829_350ulm_sfg_20cm-03.csv
-0.1306402000000002,0.04799999999999982,246.47340321540835,715.0,729.0,0829_350ulm_sfg_20cm-03.csv
-0.10562700000000014,0.04600000000000004,255.78793835639956,742.0,756.0,0829_350ulm_sfg_20cm-03.csv
-0.154204,0.051000000000000156,264.75790214538574,768.0,781.0,0829_350ulm_sfg_20cm-03.csv
-0.13663399999999992,0.04699999999999993,273.0344274044037,792.0,805.0,0829_350ulm_sfg_20cm-03.csv
-0.1599919999999999,0.050000000000000044,281.6593918800354,817.0,830.0,0829_350ulm_sfg_20cm-03.csv
-0.13084600000000002,0.04499999999999993,289.93935799598694,841.0,854.0,0829_350ulm_sfg_20cm-03.csv
-0.17859599999999975,0.050000000000000044,298.21687483787537,865.0,877.0,0829_350ulm_sfg_20cm-03.csv
-0.10728200000000054,0.04899999999999993,306.15086698532104,888.0,900.0,0829_350ulm_sfg_20cm-03.csv
-0.14386899999999958,0.050000000000000044,314.085834980011,911.0,924.0,0829_350ulm_sfg_20cm-03.csv
-0.15234300000000012,0.04899999999999993,322.3658010959625,935.0,947.0,0829_350ulm_sfg_20cm-03.csv
-0.16908800000000035,0.049000000000000155,330.2997920513153,958.0,970.0,0829_350ulm_sfg_20cm-03.csv
-0.14366100000000026,0.04799999999999982,337.8892734050751,980.0,992.0,0829_350ulm_sfg_20cm-03.csv
-0.11492900000000006,0.04800000000000004,345.47230887413025,1002.0,1014.0,0829_350ulm_sfg_20cm-03.csv
-0.09880500000000003,0.04600000000000004,353.4057867527008,1025.0,1038.0,0829_350ulm_sfg_20cm-03.csv
-0.1699139999999999,0.05499999999999994,361.6823337078095,1049.0,1062.0,0829_350ulm_sfg_20cm-03.csv
-0.17901000000000034,0.04300000000000015,370.6503250598908,1075.0,1100.0,0829_350ulm_sfg_20cm-03.csv
-0.195546,0.045,37.42185020446777,109.0,124.0,0829_350ulm_sfg_20cm-04.csv
-0.137254,0.051000000000000004,47.42681097984314,138.0,152.0,0829_350ulm_sfg_20cm-04.csv
-0.19389199999999995,0.04799999999999999,56.39677572250366,164.0,177.0,0829_350ulm_sfg_20cm-04.csv
-0.17466819999999994,0.04600000000000001,65.01927638053894,189.0,202.0,0829_350ulm_sfg_20cm-04.csv
-0.19182500000000002,0.04899999999999999,73.30124688148499,213.0,226.0,0829_350ulm_sfg_20cm-04.csv
-0.15255059999999998,0.05199999999999999,81.92380928993225,238.0,251.0,0829_350ulm_sfg_20cm-04.csv
-0.11513640000000003,0.04300000000000004,90.20438694953918,262.0,273.0,0829_350ulm_sfg_20cm-04.csv
-0.16660659999999994,0.04899999999999999,97.44993710517883,283.0,295.0,0829_350ulm_sfg_20cm-04.csv
-0.14138840000000008,0.04899999999999999,105.38393354415894,306.0,318.0,0829_350ulm_sfg_20cm-04.csv
-0.12898580000000015,0.046999999999999986,112.9739043712616,328.0,341.0,0829_350ulm_sfg_20cm-04.csv
-0.19037800000000005,0.049000000000000044,121.25387334823608,352.0,364.0,0829_350ulm_sfg_20cm-04.csv
-0.17570180000000013,0.04899999999999993,128.84383964538574,374.0,387.0,0829_350ulm_sfg_20cm-04.csv
-0.15689160000000002,0.04800000000000004,137.4688057899475,399.0,411.0,0829_350ulm_sfg_20cm-04.csv
-0.11761669999999991,0.049000000000000044,145.40377402305603,422.0,435.0,0829_350ulm_sfg_20cm-04.csv
-0.10542087599999994,0.04599999999999993,154.02874088287354,447.0,460.0,0829_350ulm_sfg_20cm-04.csv
-0.19761300000000004,0.050000000000000044,162.65582299232483,472.0,486.0,0829_350ulm_sfg_20cm-04.csv
-0.13642679999999996,0.04699999999999993,171.96978616714478,499.0,513.0,0829_350ulm_sfg_20cm-04.csv
-0.1229918000000001,0.04700000000000004,181.28335404396057,526.0,539.0,0829_350ulm_sfg_20cm-04.csv
-0.16453929999999994,0.04700000000000004,189.9083206653595,551.0,564.0,0829_350ulm_sfg_20cm-04.csv
-0.17797580000000002,0.04599999999999993,198.5332856178284,576.0,588.0,0829_350ulm_sfg_20cm-04.csv
-0.12423149999999983,0.051999999999999935,206.46728324890137,599.0,612.0,0829_350ulm_sfg_20cm-04.csv
-0.18624410000000013,0.04800000000000004,215.0922508239746,624.0,638.0,0829_350ulm_sfg_20cm-04.csv
-0.17322140000000008,0.05300000000000016,224.06221270561215,650.0,663.0,0829_350ulm_sfg_20cm-04.csv
-0.11906410000000012,0.04899999999999993,232.3421790599823,674.0,686.0,0829_350ulm_sfg_20cm-04.csv
-0.17962880000000014,0.04899999999999993,239.9321486949921,696.0,708.0,0829_350ulm_sfg_20cm-04.csv
-0.1475888000000003,0.04800000000000004,247.86820435523987,719.0,731.0,0829_350ulm_sfg_20cm-04.csv
-0.132911,0.04699999999999993,255.80117559432983,742.0,754.0,0829_350ulm_sfg_20cm-04.csv
-0.14407499999999995,0.049000000000000155,263.7361407279968,765.0,777.0,0829_350ulm_sfg_20cm-04.csv
-0.1225780000000003,0.04699999999999993,271.66913199424744,788.0,801.0,0829_350ulm_sfg_20cm-04.csv
-0.11224200000000017,0.04899999999999993,280.2940981388092,813.0,827.0,0829_350ulm_sfg_20cm-04.csv
-0.1794199999999999,0.052000000000000046,289.2620851993561,839.0,852.0,0829_350ulm_sfg_20cm-04.csv
-0.10645399999999983,0.04699999999999993,297.8865618705749,864.0,878.0,0829_350ulm_sfg_20cm-04.csv
-0.189759,0.04800000000000004,306.85455417633057,890.0,904.0,0829_350ulm_sfg_20cm-04.csv
-0.1573039999999999,0.04499999999999993,316.16805028915405,917.0,930.0,0829_350ulm_sfg_20cm-04.csv
-0.12464500000000012,0.049000000000000155,324.7930171489716,942.0,955.0,0829_350ulm_sfg_20cm-04.csv
-0.12443900000000019,0.04699999999999993,333.4179859161377,967.0,980.0,0829_350ulm_sfg_20cm-04.csv
-0.13807999999999998,0.04800000000000004,342.04295015335083,992.0,1004.0,0829_350ulm_sfg_20cm-04.csv
-0.17508199999999974,0.04699999999999993,349.9779191017151,1015.0,1027.0,0829_350ulm_sfg_20cm-04.csv
-0.18479500000000026,0.04899999999999993,357.567889213562,1037.0,1049.0,0829_350ulm_sfg_20cm-04.csv
-0.17818099999999992,0.049000000000000155,365.5008833408356,1060.0,1072.0,0829_350ulm_sfg_20cm-04.csv
-0.18252199999999963,0.04899999999999993,373.78085350990295,1084.0,1109.0,0829_350ulm_sfg_20cm-04.csv
-0.1947190000000001,0.054,41.91236782073975,122.0,135.0,0829_350ulm_sfg_20cm-05.csv
-0.3129559000000002,0.047999999999999994,50.187901735305786,146.0,158.0,0829_350ulm_sfg_20cm-05.csv
-0.22655179999999997,0.049,58.12292218208313,169.0,182.0,0829_350ulm_sfg_20cm-05.csv
-0.26375950000000004,0.05000000000000002,66.40191674232483,193.0,206.0,0829_350ulm_sfg_20cm-05.csv
-0.24453545,0.04799999999999999,75.02443099021912,218.0,232.0,0829_350ulm_sfg_20cm-05.csv
-0.18459011999999997,0.04999999999999999,84.33940076828003,245.0,258.0,0829_350ulm_sfg_20cm-05.csv
-0.18955125900000014,0.046999999999999986,92.96437001228333,270.0,284.0,0829_350ulm_sfg_20cm-05.csv
-0.23792100000000005,0.051000000000000045,101.933363199234,296.0,309.0,0829_350ulm_sfg_20cm-05.csv
