deltaQ (pC),deltaM (g),time (s),mass jump indices,mid plateau indices,trial
-0.06263280000000004,0.053,37.77988767623901,110.0,122.0,1007_350ulm_2.5NaCl_sfnewg_10ga_10cm_02.csv
-0.07772259999999998,0.053,45.71528005599976,133.0,146.0,1007_350ulm_2.5NaCl_sfnewg_10ga_10cm_02.csv
-0.06304619999999994,0.052000000000000005,54.34024715423584,158.0,172.0,1007_350ulm_2.5NaCl_sfnewg_10ga_10cm_02.csv
-0.07689579999999996,0.05099999999999999,63.65416646003723,185.0,199.0,1007_350ulm_2.5NaCl_sfnewg_10ga_10cm_02.csv
-0.09777340000000001,0.05000000000000002,72.9691801071167,212.0,229.0,1007_350ulm_2.5NaCl_sfnewg_10ga_10cm_02.csv
-0.09942689999999993,0.055999999999999994,84.00639009475708,244.0,262.0,1007_350ulm_2.5NaCl_sfnewg_10ga_10cm_02.csv
-0.08599089999999993,0.055999999999999994,95.73260807991028,278.0,295.0,1007_350ulm_2.5NaCl_sfnewg_10ga_10cm_02.csv
-0.07048769999999999,0.056999999999999995,106.76884150505066,310.0,325.0,1007_350ulm_2.5NaCl_sfnewg_10ga_10cm_02.csv
-0.10397480000000009,0.05399999999999999,116.77380061149596,339.0,354.0,1007_350ulm_2.5NaCl_sfnewg_10ga_10cm_02.csv
-0.07255500000000004,0.06000000000000005,126.77768182754517,368.0,381.0,1007_350ulm_2.5NaCl_sfnewg_10ga_10cm_02.csv
-0.06656050000000013,0.05399999999999994,135.39901781082153,393.0,407.0,1007_350ulm_2.5NaCl_sfnewg_10ga_10cm_02.csv
-0.0659402,0.05500000000000005,144.36249828338623,419.0,432.0,1007_350ulm_2.5NaCl_sfnewg_10ga_10cm_02.csv
-0.057878419999999875,0.04699999999999993,152.6393804550171,443.0,458.0,1007_350ulm_2.5NaCl_sfnewg_10ga_10cm_02.csv
-0.08206368999999991,0.06300000000000006,162.2974033355713,471.0,483.0,1007_350ulm_2.5NaCl_sfnewg_10ga_10cm_02.csv
