deltaQ (pC),deltaM (g),time (s),mass jump indices,mid plateau indices,trial
-0.16019889999999992,0.044,33.63443899154663,98.0,111.0,1121_350ulm_sfnewg_11gaSSneutr_10cm_02.csv
-0.10872819999999994,0.05,41.91441535949707,122.0,134.0,1121_350ulm_sfnewg_11gaSSneutr_10cm_02.csv
-0.11927029999999994,0.04100000000000001,49.50359773635864,144.0,156.0,1121_350ulm_sfnewg_11gaSSneutr_10cm_02.csv
-0.16515940000000007,0.043999999999999984,57.09311985969544,166.0,177.0,1121_350ulm_sfnewg_11gaSSneutr_10cm_02.csv
-0.14324850000000006,0.04200000000000001,64.3354971408844,187.0,198.0,1121_350ulm_sfnewg_11gaSSneutr_10cm_02.csv
-0.12175089999999994,0.04600000000000001,71.57838273048401,208.0,221.0,1121_350ulm_sfnewg_11gaSSneutr_10cm_02.csv
-0.13725390000000004,0.04299999999999998,79.85547995567322,232.0,244.0,1121_350ulm_sfnewg_11gaSSneutr_10cm_02.csv
-0.14407519999999996,0.04299999999999998,87.44545340538025,254.0,265.0,1121_350ulm_sfnewg_11gaSSneutr_10cm_02.csv
-0.08040915000000004,0.04400000000000004,94.68997144699097,275.0,286.0,1121_350ulm_sfnewg_11gaSSneutr_10cm_02.csv
-0.1283654299999999,0.043999999999999984,101.93539810180664,296.0,308.0,1121_350ulm_sfnewg_11gaSSneutr_10cm_02.csv
-0.14490163499999986,0.046999999999999986,109.5259130001068,318.0,330.0,1121_350ulm_sfnewg_11gaSSneutr_10cm_02.csv
-0.1490357,0.04400000000000004,117.11540055274963,340.0,352.0,1121_350ulm_sfnewg_11gaSSneutr_10cm_02.csv
-0.07916889999999999,0.04499999999999993,124.70537829399107,362.0,374.0,1121_350ulm_sfnewg_11gaSSneutr_10cm_02.csv
-0.1058344,0.04400000000000004,132.29400181770325,384.0,396.0,1121_350ulm_sfnewg_11gaSSneutr_10cm_02.csv
-0.1610260000000001,0.04400000000000004,140.22530698776245,407.0,419.0,1121_350ulm_sfnewg_11gaSSneutr_10cm_02.csv
-0.11761650000000023,0.04299999999999993,148.1602840423584,430.0,442.0,1121_350ulm_sfnewg_11gaSSneutr_10cm_02.csv
-0.1391138999999999,0.041000000000000036,155.75029706954956,452.0,464.0,1121_350ulm_sfnewg_11gaSSneutr_10cm_02.csv
