deltaQ (pC),deltaM (g),time (s),mass jump indices,mid plateau indices,trial
-0.07400209999999996,0.034,111.95836019515993,325.0,336.0,1004_350ulm_sfnewg_10ga_10cm_01.csv
-0.07958329999999991,0.040999999999999995,119.20334339141846,346.0,357.0,1004_350ulm_sfnewg_10ga_10cm_01.csv
-0.09880730000000004,0.04200000000000001,126.448326587677,367.0,377.0,1004_350ulm_sfnewg_10ga_10cm_01.csv
-0.09860069999999993,0.03799999999999999,133.00331330299375,386.0,395.0,1004_350ulm_sfnewg_10ga_10cm_01.csv
-0.07090139999999995,0.035,138.8672981262207,403.0,412.0,1004_350ulm_sfnewg_10ga_10cm_01.csv
-0.062426199999999876,0.034,144.73180294036865,420.0,431.0,1004_350ulm_sfnewg_10ga_10cm_01.csv
-0.07834310000000011,0.034,151.63081550598145,440.0,451.0,1004_350ulm_sfnewg_10ga_10cm_01.csv
-0.08392420000000012,0.03999999999999998,158.52979588508606,460.0,471.0,1004_350ulm_sfnewg_10ga_10cm_01.csv
-0.08206380000000002,0.03700000000000003,165.42881608009338,480.0,490.0,1004_350ulm_sfnewg_10ga_10cm_01.csv
-0.07668949999999997,0.03899999999999998,171.98235082626343,499.0,510.0,1004_350ulm_sfnewg_10ga_10cm_01.csv
-0.10170137000000001,0.03899999999999998,178.8808720111847,519.0,529.0,1004_350ulm_sfnewg_10ga_10cm_01.csv
-0.09798005799999998,0.038000000000000034,185.43785500526428,538.0,547.0,1004_350ulm_sfnewg_10ga_10cm_01.csv
-0.08041029,0.03999999999999998,191.3048439025879,555.0,567.0,1004_350ulm_sfnewg_10ga_10cm_01.csv
-0.09301946999999999,0.03600000000000003,198.893856048584,577.0,587.0,1004_350ulm_sfnewg_10ga_10cm_01.csv
-0.10624835999999993,0.041999999999999926,205.4468412399292,596.0,606.0,1004_350ulm_sfnewg_10ga_10cm_01.csv
-0.06904079999999979,0.03200000000000003,211.65633344650269,614.0,622.0,1004_350ulm_sfnewg_10ga_10cm_01.csv
-0.08826519999999993,0.03200000000000003,216.4848425388336,628.0,639.0,1004_350ulm_sfnewg_10ga_10cm_01.csv
-0.09219250000000012,0.040000000000000036,223.38434100151065,648.0,659.0,1004_350ulm_sfnewg_10ga_10cm_01.csv
-0.10686970000000007,0.039999999999999925,230.62835359573364,669.0,681.0,1004_350ulm_sfnewg_10ga_10cm_01.csv
-0.0690405999999999,0.04500000000000004,238.5633351802826,692.0,702.0,1004_350ulm_sfnewg_10ga_10cm_01.csv
-0.07255469999999997,0.029000000000000026,244.77332067489624,710.0,720.0,1004_350ulm_sfnewg_10ga_10cm_01.csv
-0.06532040000000006,0.03399999999999992,250.9833073616028,728.0,737.0,1004_350ulm_sfnewg_10ga_10cm_01.csv
-0.11493039999999999,0.041000000000000036,256.8478124141693,745.0,756.0,1004_350ulm_sfnewg_10ga_10cm_01.csv
-0.10314759999999978,0.03700000000000003,263.74779629707336,765.0,776.0,1004_350ulm_sfnewg_10ga_10cm_01.csv
-0.1296082999999999,0.041999999999999926,270.64681029319763,785.0,796.0,1004_350ulm_sfnewg_10ga_10cm_01.csv
-0.07482889999999998,0.038000000000000034,277.54779529571533,805.0,814.0,1004_350ulm_sfnewg_10ga_10cm_01.csv
-0.08082339999999988,0.03500000000000003,283.412810087204,822.0,832.0,1004_350ulm_sfnewg_10ga_10cm_01.csv
-0.09922000000000009,0.030999999999999917,289.9677925109863,841.0,850.0,1004_350ulm_sfnewg_10ga_10cm_01.csv
-0.07896360000000024,0.037000000000000144,295.8337795734405,858.0,869.0,1004_350ulm_sfnewg_10ga_10cm_01.csv
-0.11058999999999974,0.038000000000000034,302.7307884693146,878.0,887.0,1004_350ulm_sfnewg_10ga_10cm_01.csv
-0.10087400000000013,0.03499999999999992,308.5947952270508,895.0,906.0,1004_350ulm_sfnewg_10ga_10cm_01.csv
-0.11823800000000029,0.040999999999999925,315.49429535865784,915.0,925.0,1004_350ulm_sfnewg_10ga_10cm_01.csv
-0.07048799999999966,0.03300000000000014,322.048312664032,934.0,944.0,1004_350ulm_sfnewg_10ga_10cm_01.csv
-0.09798000000000018,0.039999999999999813,328.6008355617523,953.0,964.0,1004_350ulm_sfnewg_10ga_10cm_01.csv
-0.11141700000000032,0.038000000000000034,335.49932861328125,973.0,982.0,1004_350ulm_sfnewg_10ga_10cm_01.csv
-0.07421000000000033,0.03100000000000014,341.0183498859405,989.0,997.0,1004_350ulm_sfnewg_10ga_10cm_01.csv
-0.08557700000000024,0.03299999999999992,345.84785175323486,1003.0,1011.0,1004_350ulm_sfnewg_10ga_10cm_01.csv
-0.0744180000000001,0.030000000000000027,351.02183747291565,1018.0,1029.0,1004_350ulm_sfnewg_10ga_10cm_01.csv
-0.08268399999999998,0.04200000000000004,357.9208481311798,1038.0,1047.0,1004_350ulm_sfnewg_10ga_10cm_01.csv
-0.09446600000000016,0.028000000000000025,363.7858669757843,1055.0,1061.0,1004_350ulm_sfnewg_10ga_10cm_01.csv
-0.060979000000000116,0.02499999999999991,367.5808572769165,1066.0,1075.0,1004_350ulm_sfnewg_10ga_10cm_01.csv
-0.10521400000000014,0.040999999999999925,374.1348667144776,1085.0,1110.0,1004_350ulm_sfnewg_10ga_10cm_01.csv
-0.09281200000000012,0.045,39.50193667411804,115.0,128.0,1004_350ulm_sfnewg_10ga_10cm_02.csv
-0.10955649999999995,0.037000000000000005,47.7784276008606,139.0,148.0,1004_350ulm_sfnewg_10ga_10cm_02.csv
-0.07627600000000001,0.03699999999999999,53.64292502403259,156.0,167.0,1004_350ulm_sfnewg_10ga_10cm_02.csv
-0.0913657,0.04400000000000001,60.88694763183594,177.0,188.0,1004_350ulm_sfnewg_10ga_10cm_02.csv
-0.09653339999999988,0.04000000000000001,68.13146424293518,198.0,207.0,1004_350ulm_sfnewg_10ga_10cm_02.csv
-0.09508649999999996,0.033999999999999975,73.99644947052002,215.0,225.0,1004_350ulm_sfnewg_10ga_10cm_02.csv
-0.115344,0.03600000000000003,80.20643782615662,233.0,242.0,1004_350ulm_sfnewg_10ga_10cm_02.csv
-0.0787563,0.034999999999999976,86.07045125961304,250.0,260.0,1004_350ulm_sfnewg_10ga_10cm_02.csv
-0.1081091999999999,0.03699999999999998,92.62543487548828,269.0,279.0,1004_350ulm_sfnewg_10ga_10cm_02.csv
